Dial Setting,Stopping Voltage
1000,1.494
950,1.392
900,1.31
850,1.22
800,1.147
750,1.067
700,1
650,0.941
600,0.884
550,0.827
500,0.781
450,0.725
400,0.667
350,0.631
350,0.64
400,0.682
500,0.774
600,0.881
700,1.003
800,1.148
900,1.311
1000,1.511
