Dial Setting,Stopping Voltage
1000,1.418
950,1.345
900,1.292
850,1.191
800,1.131
750,0.989
700,0.911
650,0.84
600,0.791
550,0.718
500,0.669
450,0.585
400,0.527
350,0.424
400,0.533
500,0.661
600,0.79
700,0.916
800,1.046
900,1.175
1000,1.283
1000,1.55
900,1.346
800,1.147
700,1.002
600,0.887
